order_month,customer_segment,orders_count,active_customers,total_revenue,avg_order_value
2016-09-01 00:00:00,low_value_occasional,1,1,40.95,40.95
2016-09-01 00:00:00,mid_value_one_time,2,2,211.29,105.65
2016-10-01 00:00:00,core_customers,15,12,1904.42,126.96
2016-10-01 00:00:00,high_value_one_time,87,87,36898.94,424.13
2016-10-01 00:00:00,low_value_occasional,67,67,3016.08,45.02
2016-10-01 00:00:00,mid_value_one_time,155,155,17271.04,111.43
2016-12-01 00:00:00,low_value_occasional,1,1,19.62,19.62
2017-01-01 00:00:00,core_customers,67,45,9193.82,137.22
2017-01-01 00:00:00,high_value_loyal,9,6,1309.58,145.51
2017-01-01 00:00:00,high_value_one_time,200,200,84203.99,421.02
2017-01-01 00:00:00,low_value_occasional,220,210,9114.11,41.43
2017-01-01 00:00:00,mid_value_one_time,304,304,34666.54,114.03
2017-02-01 00:00:00,core_customers,72,57,10261.65,142.52
2017-02-01 00:00:00,high_value_loyal,12,7,1399.42,116.62
2017-02-01 00:00:00,high_value_one_time,392,392,167782.77,428.02
2017-02-01 00:00:00,low_value_occasional,497,492,20958.83,42.17
2017-02-01 00:00:00,mid_value_one_time,807,807,91505.34,113.39
2017-03-01 00:00:00,core_customers,126,99,20991.67,166.60
2017-03-01 00:00:00,high_value_loyal,16,14,3759.11,234.94
2017-03-01 00:00:00,high_value_one_time,608,608,260358.84,428.22
2017-03-01 00:00:00,low_value_occasional,719,708,31119.58,43.28
2017-03-01 00:00:00,mid_value_one_time,1213,1213,133634.40,110.17
2017-04-01 00:00:00,core_customers,122,100,26653.63,218.47
2017-04-01 00:00:00,high_value_loyal,13,10,2264.92,174.22
2017-04-01 00:00:00,high_value_one_time,586,586,246026.67,419.84
2017-04-01 00:00:00,low_value_occasional,635,628,27665.10,43.57
2017-04-01 00:00:00,mid_value_one_time,1048,1048,115177.71,109.90
2017-05-01 00:00:00,core_customers,224,169,35869.53,160.13
2017-05-01 00:00:00,high_value_loyal,41,33,6771.98,165.17
2017-05-01 00:00:00,high_value_one_time,780,780,317284.70,406.78
2017-05-01 00:00:00,low_value_occasional,909,897,39496.43,43.45
2017-05-01 00:00:00,mid_value_one_time,1746,1746,193496.18,110.82
2017-06-01 00:00:00,core_customers,222,170,31316.92,141.07
2017-06-01 00:00:00,high_value_loyal,28,22,5221.98,186.50
2017-06-01 00:00:00,high_value_one_time,649,649,270413.64,416.66
2017-06-01 00:00:00,low_value_occasional,799,792,34400.99,43.06
2017-06-01 00:00:00,mid_value_one_time,1547,1547,169922.85,109.84
2017-07-01 00:00:00,core_customers,242,187,36831.65,152.20
2017-07-01 00:00:00,high_value_loyal,41,27,6234.32,152.06
2017-07-01 00:00:00,high_value_one_time,825,825,292440.63,354.47
2017-07-01 00:00:00,low_value_occasional,1014,1004,45045.78,44.42
2017-07-01 00:00:00,mid_value_one_time,1904,1904,211830.54,111.26
2017-08-01 00:00:00,core_customers,241,185,36302.97,150.63
2017-08-01 00:00:00,high_value_loyal,61,42,9581.91,157.08
2017-08-01 00:00:00,high_value_one_time,910,910,356097.02,391.32
2017-08-01 00:00:00,low_value_occasional,1055,1045,46459.99,44.04
2017-08-01 00:00:00,mid_value_one_time,2064,2064,225954.43,109.47
2017-09-01 00:00:00,core_customers,280,221,46045.93,164.45
2017-09-01 00:00:00,high_value_loyal,42,32,7017.67,167.09
2017-09-01 00:00:00,high_value_one_time,969,969,409227.71,422.32
2017-09-01 00:00:00,low_value_occasional,977,973,43740.49,44.77
2017-09-01 00:00:00,mid_value_one_time,2017,2017,221730.65,109.93
2017-10-01 00:00:00,core_customers,255,202,39515.28,154.96
2017-10-01 00:00:00,high_value_loyal,45,33,7142.73,158.73
2017-10-01 00:00:00,high_value_one_time,1050,1050,441554.92,420.53
2017-10-01 00:00:00,low_value_occasional,1103,1098,48898.87,44.33
2017-10-01 00:00:00,mid_value_one_time,2178,2178,242566.08,111.37
2017-11-01 00:00:00,core_customers,360,277,57035.14,158.43
2017-11-01 00:00:00,high_value_loyal,55,38,8917.51,162.14
2017-11-01 00:00:00,high_value_one_time,1664,1664,648118.89,389.49
2017-11-01 00:00:00,low_value_occasional,1930,1916,85005.69,44.04
2017-11-01 00:00:00,mid_value_one_time,3535,3535,395805.57,111.97
2017-12-01 00:00:00,core_customers,268,218,44731.73,166.91
2017-12-01 00:00:00,high_value_loyal,34,21,4306.14,126.65
2017-12-01 00:00:00,high_value_one_time,1262,1262,458261.63,363.12
2017-12-01 00:00:00,low_value_occasional,1328,1321,58098.12,43.75
2017-12-01 00:00:00,mid_value_one_time,2781,2781,313003.86,112.55
2018-01-01 00:00:00,core_customers,374,289,59835.33,159.99
2018-01-01 00:00:00,high_value_loyal,39,33,6494.56,166.53
2018-01-01 00:00:00,high_value_one_time,1554,1554,579147.73,372.68
2018-01-01 00:00:00,low_value_occasional,1842,1830,79221.60,43.01
2018-01-01 00:00:00,mid_value_one_time,3460,3460,390304.96,112.80
2018-02-01 00:00:00,core_customers,415,291,60663.81,146.18
2018-02-01 00:00:00,high_value_loyal,55,32,8909.30,161.99
2018-02-01 00:00:00,high_value_one_time,1358,1358,493513.80,363.41
2018-02-01 00:00:00,low_value_occasional,1762,1750,75494.33,42.85
2018-02-01 00:00:00,mid_value_one_time,3138,3138,353882.10,112.77
2018-03-01 00:00:00,core_customers,324,249,49556.67,152.95
2018-03-01 00:00:00,high_value_loyal,51,40,6873.16,134.77
2018-03-01 00:00:00,high_value_one_time,1676,1676,641434.95,382.72
2018-03-01 00:00:00,low_value_occasional,1807,1797,79678.30,44.09
2018-03-01 00:00:00,mid_value_one_time,3353,3353,382109.04,113.96
2018-04-01 00:00:00,core_customers,264,225,47732.21,180.80
2018-04-01 00:00:00,high_value_loyal,46,38,7872.02,171.13
2018-04-01 00:00:00,high_value_one_time,1648,1648,656259.44,398.22
2018-04-01 00:00:00,low_value_occasional,1656,1646,71708.61,43.30
2018-04-01 00:00:00,mid_value_one_time,3325,3325,377213.20,113.45
2018-05-01 00:00:00,core_customers,279,238,50662.77,181.59
2018-05-01 00:00:00,high_value_loyal,41,30,6853.29,167.15
2018-05-01 00:00:00,high_value_one_time,1570,1570,648040.99,412.76
2018-05-01 00:00:00,low_value_occasional,1622,1615,69788.95,43.03
2018-05-01 00:00:00,mid_value_one_time,3361,3361,378636.15,112.66
2018-06-01 00:00:00,core_customers,230,203,36901.38,160.44
2018-06-01 00:00:00,high_value_loyal,34,27,5378.44,158.19
2018-06-01 00:00:00,high_value_one_time,1474,1474,581146.58,394.26
2018-06-01 00:00:00,low_value_occasional,1499,1494,64999.81,43.36
2018-06-01 00:00:00,mid_value_one_time,2930,2930,335454.29,114.49
2018-07-01 00:00:00,core_customers,262,213,46637.68,178.01
2018-07-01 00:00:00,high_value_loyal,26,22,6958.86,267.65
2018-07-01 00:00:00,high_value_one_time,1475,1475,606457.37,411.16
2018-07-01 00:00:00,low_value_occasional,1542,1533,66889.63,43.38
2018-07-01 00:00:00,mid_value_one_time,2987,2987,339597.21,113.69
2018-08-01 00:00:00,core_customers,227,187,35015.69,154.25
2018-08-01 00:00:00,high_value_loyal,37,28,15396.96,416.13
2018-08-01 00:00:00,high_value_one_time,1399,1399,546153.99,390.39
2018-08-01 00:00:00,low_value_occasional,1715,1712,74942.53,43.70
2018-08-01 00:00:00,mid_value_one_time,3134,3134,350916.15,111.97
2018-09-01 00:00:00,core_customers,4,4,686.59,171.65
2018-09-01 00:00:00,high_value_loyal,6,4,625.43,104.24
2018-09-01 00:00:00,high_value_one_time,3,3,2939.32,979.77
2018-09-01 00:00:00,low_value_occasional,2,2,51.17,25.59
2018-09-01 00:00:00,mid_value_one_time,1,1,137.03,137.03
2018-10-01 00:00:00,core_customers,2,2,302.41,151.21
2018-10-01 00:00:00,high_value_loyal,1,1,197.55,197.55
2018-10-01 00:00:00,mid_value_one_time,1,1,89.71,89.71
